District,Year,Mean_Scale_Score_e,Mean_Scale_Score_m,Total Enrollment,% Asian,% Black,% Hispanic,% Multi-Racial,% Native American,%_White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,ENI,p_tested_e,p_tested_m,% POC
24,2022,600.567688,594.7229614,54197,0.19015812873840332,0.022012287750840187,0.6480247974395752,0.006144251674413681,0.005775227211415768,0.1216856986284256,0.006199605297297239,0.16652213037014008,0.2627451717853546,0.738435685634613,0.7082573175430298,0.41035481668727053,0.4132885584072919,0.8783143013715744
25,2018,607.3392944,609.4315796,39585,0.4923582077026367,0.07497789710760117,0.28884679079055786,0.008614374324679375,0.005608184728771448,0.12552735209465027,0.004067196976393461,0.14316028356552124,0.18691423535346985,0.7124415636062622,0.6356512308120728,0.404420866489832,0.3938613111026904,0.8744726479053497
25,2019,606.1833496,609.2550659,39037,0.49327561259269714,0.07044598460197449,0.2933370769023895,0.009273253381252289,0.006250480189919472,0.12221738696098328,0.005200194660574198,0.1460409313440323,0.1802392601966858,0.6901401281356812,0.6303076148033142,0.40784384045905164,0.39155160488767066,0.8777826130390167
25,2022,607.7797852,605.4547119,37197,0.4864908456802368,0.05769282579421997,0.31757938861846924,0.011909562163054943,0.0058606876991689205,0.11242841929197311,0.00803828239440918,0.14579132199287415,0.19759657979011536,0.664892315864563,0.6151483058929443,0.39019275748044197,0.3566147807618894,0.8875715807080269
26,2018,613.2385864,614.5249634,32891,0.5287768840789795,0.11267519742250443,0.17180991172790527,0.012404609471559525,0.008056915365159512,0.1636313945055008,0.0026451004669070244,0.1457541584968567,0.07655590027570724,0.5934754014015198,0.46486252546310425,0.3409139278222006,0.3152230093338603,0.8363686054944992
26,2019,612.6375122,614.6226196,32678,0.529071569442749,0.11469490081071854,0.17286859452724457,0.013923740945756435,0.008048227988183498,0.15796560049057007,0.0034273823257535696,0.14688780903816223,0.08057408779859543,0.5740559101104736,0.46768712997436523,0.3417589815778199,0.3173694840565518,0.8420343995094299
26,2022,613.9614258,611.7007446,30859,0.5440876483917236,0.10509089380502701,0.18228068947792053,0.016559189185500145,0.011082665994763374,0.13477429747581482,0.006124631501734257,0.14462555944919586,0.08947146683931351,0.5653780102729797,0.4756559729576111,0.31770310120224243,0.27959428367737127,0.8652257025241852
27,2018,600.3586426,597.8063965,44879,0.22794625163078308,0.22471535205841064,0.3887118697166443,0.0071525657549500465,0.04262572526931763,0.10448093712329865,0.004367298912256956,0.17785601317882538,0.11141068488359451,0.781011164188385,0.700023353099823,0.47249270260032533,0.43309788542525457,0.8955190628767014
27,2019,599.5980835,598.9314575,45146,0.22593364119529724,0.22032959759235382,0.39350107312202454,0.007841226644814014,0.04418995976448059,0.1042395755648613,0.003964914008975029,0.18125636875629425,0.1068754717707634,0.7537544965744019,0.6881651878356934,0.4638727683515705,0.4333052762149471,0.8957604244351387
27,2022,599.9696045,593.5575562,41502,0.21885691583156586,0.20560455322265625,0.4104621410369873,0.010746469721198082,0.045612260699272156,0.09859766066074371,0.010119994170963764,0.17555780708789825,0.11182593554258347,0.7413136959075928,0.678277850151062,0.4229193773794034,0.3875475880680449,0.9014023393392563
28,2018,603.1176147,601.7891846,42671,0.29300931096076965,0.21325959265232086,0.2733941078186035,0.015350003726780415,0.035597946494817734,0.163389652967453,0.005999390501528978,0.1532188206911087,0.10428628325462341,0.704576849937439,0.6152872443199158,0.35290947013193974,0.324201448290408,0.836610347032547
28,2019,602.4945679,603.1998291,42379,0.29906320571899414,0.19995751976966858,0.2771419882774353,0.017390688881278038,0.03560725972056389,0.1640671044588089,0.006772221997380257,0.15554873645305634,0.10738809406757355,0.6941645741462708,0.6121336817741394,0.3529106397036268,0.322848580664952,0.8359328955411911
28,2022,604.0319214,599.3244629,39396,0.305970162153244,0.1796121448278427,0.2923900783061981,0.021525027230381966,0.03761803358793259,0.15511727333068848,0.007767286151647568,0.14790841937065125,0.10602599382400513,0.6377550959587097,0.5937106013298035,0.3183318103360747,0.2769570514773073,0.8448827266693115
29,2018,598.5322876,593.9630127,27663,0.160720095038414,0.6155152916908264,0.15782815217971802,0.00842280313372612,0.03564327955245972,0.01836387999355793,0.0035064888652414083,0.16165998578071594,0.08314354717731476,0.7539312243461609,0.6335886716842651,0.4884141271734808,0.45562664931496943,0.9816361200064421
29,2019,597.3485107,594.9156494,26894,0.1640142798423767,0.6072729825973511,0.1621551215648651,0.008626459166407585,0.03766639530658722,0.017847847193479538,0.0024168959353119135,0.1668030023574829,0.08626459538936615,0.7322079539299011,0.6278095245361328,0.49899605860043134,0.47824793634267865,0.9821521528065205
29,2022,599.0869751,591.7723999,24266,0.17716145515441895,0.5615264177322388,0.18593917787075043,0.011332728900015354,0.03886095806956291,0.017637846991419792,0.007541415747255087,0.15911151468753815,0.09746146947145462,0.6975603699684143,0.6227589249610901,0.43962746229292016,0.3894749855765268,0.9823621530085802
30,2018,605.2368774,603.7543945,41144,0.21531693637371063,0.06499125063419342,0.5319852232933044,0.012079525738954544,0.007607427425682545,0.1648843139410019,0.0031353295780718327,0.14765214920043945,0.1712035834789276,0.7297054529190063,0.7025837302207947,0.4383385183744896,0.4364913474625705,0.8351156860589981
30,2019,604.1243896,604.6690674,40730,0.21529585123062134,0.06437515467405319,0.5277191400527954,0.014289221726357937,0.007561993785202503,0.16746869683265686,0.003289958229288459,0.150945246219635,0.1611834019422531,0.7044684290885925,0.6901205778121948,0.43898846059415664,0.4381291431377363,0.8325313031673431
30,2022,605.854187,599.5611572,37664,0.20167799293994904,0.061437979340553284,0.5259929895401001,0.02015186846256256,0.0069296942092478275,0.17812766134738922,0.005681818351149559,0.14738211035728455,0.18481838703155518,0.664082407951355,0.6532549262046814,0.4016302039082413,0.38423959218351744,0.8218723386526108
31,2018,603.9186401,600.8856812,62537,0.09965300559997559,0.1275245100259781,0.2841677665710449,0.01421558391302824,0.004765179008245468,0.46633192896842957,0.0033420214895159006,0.2412971556186676,0.06137166917324066,0.5781537294387817,0.5187513828277588,0.4160576938452436,0.409197754929082,0.5336680710315704
31,2019,602.9473877,601.7493286,62265,0.1108006089925766,0.12422709167003632,0.2871597111225128,0.015353729948401451,0.004689632914960384,0.4525817036628723,0.0051875049248337746,0.245049387216568,0.06294065713882446,0.5781257748603821,0.5220618844032288,0.4185015658877379,0.40835140126877056,0.5474182963371277
